keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,quality_score,ad_relevance,expected_ctr,landing_page_exp,class,bidding_mode,bidding_strategy_type,target_source,portfolio_name
punk clothing,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,38683771,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1298,123,129.60,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
punk rock shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,146826424,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,331,21,21.67,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
tattoo shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,476587193,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,472,65,62.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
mens hoodies,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,749619809,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,17428,1468,1911.89,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,HIGH_SPEND_LOW_QS,Critical,"QS 4 on high-spend keyword (€1,173.15) — CPC premium is costing materially more per click than at QS 7+.",10604,974,1173.15,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,10604,974,1173.15,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
tattoo clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,314409264908,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1606,202,253.62,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
goth rock clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,384506467884,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,5558,575,691.85,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
sinner hoodie,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,583142500232,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSION_VALUE,campaign_inline,
,,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,17820068572,,,LOST_IS_RANK_QS,High,Campaign has 69.0% Lost IS (rank) AND weighted QS 3.09 < 6. QS is dragging rank — fixing components likely recovers traffic. Note: also losing 25.1% to budget — fix budget alongside QS.,59181,,,3.09,,,,,SMART,MAXIMIZE_CONVERSION_VALUE,,
,,EX | USA | SEARCH | BRAND,,20520258918,,,LOST_IS_RANK_NON_QS,Info,"Campaign has 16.2% Lost IS (rank) but weighted QS 8.96 is healthy — rank loss is NOT a QS issue. Investigate bid, ad strength, targeting, or competitive pressure. Route to /competitive-analyst or /offer-maker.",27222,,,8.96,,,,,SMART,MAXIMIZE_CONVERSION_VALUE,,
